CODIGO_UPGRADE;EQUIPAMENTO1;ANTIGO1;NOVO1;EQUIPAMENTO2;ANTIGO2;NOVO2;EQUIPAMENTO3;ANTIGO3;NOVO3;EQUIPAMENTO4;ANTIGO4;NOVO4;EQUIPAMENTO5;ANTIGO5;NOVO5;EQUIPAMENTO6;ANTIGO6;NOVO6;EQUIPAMENTO7;ANTIGO7;NOVO7;EQUIPAMENTO8;ANTIGO8;NOVO8;EQUIPAMENTO9;ANTIGO9;NOVO9
191;AMPLIFICADOR;LE/600;HGD/1;TAP;4/11/600;4/23/1;ACOPLADOR;DC12/600;-;;;;;;;;;;;;;;;;;;
192;TAP;8/24/600;8/21/1;TAP;2/23/600;2/20/1;;;;;;;;;;;;;;;;;;;;;
193;ACOPLADOR;DC12/600;DC8/1;TAP;4/20/600;4/11/1;;;;;;;;;;;;;;;;;;;;;
194;TAP;4/11/600;4/14/1;EQUALIZADOR DE LINHA;EQ/600;-;;;;;;;;;;;;;;;;;;;;;
195;TAP;4/14/600;4/17/1;;;;;;;;;;;;;;;;;;;;;;;;
196;TAP;8/24/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
197;TAP;8/15/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
198;TAP;2/11/600;2/20/1;AMPLIFICADOR;LE/600;-;;;;;;;;;;;;;;;;;;;;;
199;TAP;4/14/600;4/11/1;;;;;;;;;;;;;;;;;;;;;;;;
200;AMPLIFICADOR;LE/600;LE/1;ACOPLADOR;-;DC8/1;TAP;8/24/600;8/15/1;;;;;;;;;;;;;;;;;;
201;AMPLIFICADOR;LE/600;HGD/1;ACOPLADOR;2WAY/600;-;TAP;8/24/600;8/21/1;;;;;;;;;;;;;;;;;;
202;TAP;8/15/600;8/18/1;;;;;;;;;;;;;;;;;;;;;;;;
203;TAP;8/18/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
204;TAP;8/18/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
205;TAP;8/24/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
206;ACOPLADOR;DC8/600;DC12/1;;;;;;;;;;;;;;;;;;;;;;;;
207;TAP;8/18/600;8/15/1;ACOPLADOR;DC8/600;DC12/1;;;;;;;;;;;;;;;;;;;;;
208;EQUALIZADOR DE LINHA;EQ/600;-;;;;;;;;;;;;;;;;;;;;;;;;
209;TAP;8/24/600;8/15/1;;;;;;;;;;;;;;;;;;;;;;;;
210;TAP;4/23/600;4/20/1;TAP;8/21/600;8/18/1;;;;;;;;;;;;;;;;;;;;;
211;EQUALIZADOR DE LINHA;EQ/600;-;;;;;;;;;;;;;;;;;;;;;;;;
212;AMPLIFICADOR;LE/600;-;TAP;4/17/600;4/14/1;;;;;;;;;;;;;;;;;;;;;
213;AMPLIFICADOR;-;HGD/1;ACOPLADOR;DC8/600;-;;;;;;;;;;;;;;;;;;;;;
214;TAP;4/11/600;4/17/1;EQUALIZADOR DE LINHA;EQ/600;-;;;;;;;;;;;;;;;;;;;;;
215;TAP;4/20/600;4/11/1;;;;;;;;;;;;;;;;;;;;;;;;
216;TAP;2/8/600;2/14/1;;;;;;;;;;;;;;;;;;;;;;;;
217;TAP;2/11/600;2/20/1;TAP;4/11/600;4/17/1;;;;;;;;;;;;;;;;;;;;;
218;TAP;8/15/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
219;TAP;4/23/600;4/14/1;;;;;;;;;;;;;;;;;;;;;;;;
